name,road_address,address,longitude,latitude,phone,url,store_num,parking,toilet,image,avg_score,cluster_key
이태원제일시장,녹사평대로52길 19,용산구 이태원동 274-4,126.9882817,37.53903087,,,10,,,,0,용산구
이촌종합시장,이촌로75길 16-9,용산구 이촌동 301-154,126.9748284,37.52073598,794-1555,,104,,,,0,용산구
신흥시장,신흥로 95-9,용산구 용산동2가 1-480,126.9850489,37.54528904,754-7389,,38,,,,0,용산구
용문전통시장,효창원로40길 13,용산구 용문동 41-44,126.9598073,37.53662307,,,149,,,,0,용산구
후암시장,한강대로104길 77,용산구 후암동 103-25,126.9764186,37.5501948,754-5114,,50,,,,0,용산구
만리시장,효창원로 270,용산구 서계동 260-1,126.9635701,37.55120869,714-2559,,31,,,,0,용산구
보광시장,보광로 30,용산구 보광동 260-8,127.0002706,37.52719022,749-6464,,17,,,,0,용산구
이태원시장,이태원로14길 6,용산구 이태원동 56-9,126.9900202,37.53382312,794-5682,,84,,,,0,용산구
영등포시장기계공구상가,영중로14길 48,영등포구 영등포동2가 167-1,126.9104165,37.5192425,2635-8005,,369,,,,0,영등포구
영등포로타리지하도상점가,영등포구 영등포동3가 441,영등포구 영등포구 영등포동3가 441,126.9060338,37.51770086,2631-1248,,133,,,,0,영등포구
영등포역지하도상점가,경인로 846,영등포구 영등포동 618-496,126.9076181,37.51565581,3667-8681,,80,,,,0,영등포구
영등포시장지하도상점가,영등포구 영등포동5가 20,영등포구 영등포구 영등포동5가 20,126.9055671,37.52021946,2676-2235,,78,,,,0,영등포구
우리시장,도림로64길 20,영등포구 대림동 904-20,126.9053409,37.49629338,832-2605,,100,,,,0,영등포구
남서울상가,영등포구 영등포동5가 16,영등포구 영등포동5가 16,126.9069561,37.5203855,2634-7610,,56,,,,0,영등포구
로타리상가,영등포구 영등포동5가 20,영등포구 영등포동5가 20,126.9053619,37.52032568,2634-0591,,93,,,,0,영등포구
조광시장,영신로41길 2,영등포구 당산동1가 183-1,126.9010614,37.52196513,2675-3269,,250,,,,0,영등포구
제일상가,영등포구 영등포동5가 18,영등포구 영등포동5가 18,126.9065777,37.51995851,2634-0310,,51,,,,0,영등포구
영등포전통시장,영중로14길 27,영등포구 영등포동2가 335,126.9082846,37.51986609,2634-1308,,370,,,,0,영등포구
영진시장A동,신풍로 87,영등포구 신길동 2365,126.9159295,37.50037154,833-2078,,66,,,,0,영등포구
대림중앙시장,디지털로49길 13-1,영등포구 대림동 1075-47,126.8992645,37.49083776,,,83,,,,0,영등포구
영등포유통상가,영등포로 109,영등포구 당산동2가 30-2,126.8939141,37.52241557,2679-2376,,1287,,,,0,영등포구
영일시장,영등포구 문래동30길 27,영등포구 문래동3가 10,126.9006945,37.51615555,2633-9047,,326,,,,0,영등포구
신영사러가시장,가마산로69가길 17,영등포구 신길동 255-9,126.9102072,37.50645104,834-8900,,4,,,,0,영등포구
사러가시장,신길로 155,영등포구 신길동 254-1,126.9103182,37.50614233,834-8900,,73,,,,0,영등포구
대신시장,도신로60길 7,영등포구 신길동 116-15,126.9174112,37.5114635,842-0003,http://daeshin.story3.kr,86,,,,0,영등포구
영등포기계상가,영등포로 39,영등포구 양평동1가 247,126.8864243,37.52306508,2636-0090,,155,,,,0,영등포구
신동시장,가마산로69가길 12,영등포구 신길동 259-7,126.9096167,37.50624568,832-1752,,1,,,,0,영등포구
도림시장,도영로 50,영등포구 도림동 176-1,126.8986495,37.50992062,846-7747,,36,,,,0,영등포구
영신상가,영등포구 영등포동5가 18,영등포구 영등포동5가 18,126.9067817,37.51993336,2634-0602,,159,,,,0,영등포구
동남상가,영등포로37길 4,영등포구 영등포동5가 24,126.9056424,37.52059679,2635-4846,,63,,,,0,영등포구
삼구시장,영등포구 영등포동5가 19,영등포구 영등포동5가 19,126.9059876,37.5200882,2634-0536,,59,,,,0,영등포구
양남시장,선유동1로 5,영등포구 양평동1가 30,126.8911316,37.52286617,3667-4152,,16,,,,0,영등포구
우성상가,지양로 78,양천구 신월동 928-1,126.8335528,37.52265623,2693-1241,,19,,,,0,양천구
신정3동 골목시장,중앙로43길 26,양천구 신정동 1181-16,126.8526944,37.51847063,,,85,,,,0,양천구
신정2동 골목시장,신목로2길 35-2,양천구 신정동 127-19,126.8766308,37.52098847,,,62,,,,0,양천구
신정1동 골목시장,중앙로34길 28,양천구 신정동 1029-1,126.8538033,37.52062718,,,68,,,,0,양천구
신월7동 골목시장,양천구 자양로 82,양천구 신월동 921-10,126.8333429,37.52274479,,,22,,,,0,양천구
신월6동 골목시장,달맞이1길 7,양천구 신월동 574-15,126.8431418,37.51762302,,,98,,,,0,양천구
신월3동 골목시장,남부순환로40가길 13,양천구 신월동 181-1,126.8256041,37.53365102,,,50,,,,0,양천구
경창시장,오목로9길 31,양천구 신월동 447-8,126.8421077,37.52493364,2606-5988,,64,,,,0,양천구
신영시장,월정로 161-5,양천구 신월동 114-18,126.8360091,37.53301187,2604-3319,http://www.sysj.co.kr,136,,,,0,양천구
